text,RESTAURANT#GENERAL,RESTAURANT#PRICES,RESTAURANT#MISCELLANEOUS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,AMBIENCE#GENERAL,SERVICE#GENERAL,LOCATION#GENERAL
"ảnh chụp từ hôm_qua , đi chơi với gia_đình và nhà họ_hàng đang sống tại xài gòn . hôm_qua đi ăn trưa muộn , ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn_liền , bởi_vậy mới quên chụp các phần gọi thêm với nước_mắm , chỉ chụp món chính thôi đói quá nên không biết đánh_giá đồ ăn kiểu gì luôn grining face with sweat grining face with sweat grining face with sweat chọn cái này vì thấy nó lạ với tui .",0,0,0,0,2,2,0,0,0,0,0,0
"hương_vị thơm ngon , ăn cay cay rất thích , nêm nếm vừa_miệng . ngoài_ra menu quán cũng nhiều món khác nhau tha_hồ cho bạn lựa_chọn luôn . quán rộng_rãi , tầm nhìn khá đẹp và cũng thoáng lắm . khách của quán đông nên nhiều khi nhân_viên phục_vụ không được nhanh cho lắm . thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung_bình là giá phần . hai bạn đi chung chi khoảng giá hơn là ổn nhé .",1,2,0,2,1,1,0,0,0,1,3,0
"bàn tiệc hoành_tráng đứa ăn no muốn tắt_thở mà giá chỉ giá ăn trung đợt giảm , mình thích nhất pad thái với gà nướng đúng kiểu thái luôn , quán nhỏ , trong hẻm , cơ_mà anh phục_vụ rất dễ_thương , chế_biến hợp vệ_sinh , bếp lộ_thiên lại còn có_thể xin nấu cùng đã",1,0,1,1,1,1,0,0,0,3,1,3
các bạn nhìn cái chảo này có to không face with roling eyes face with roling eyes face with roling eyes trên hình thấy nó cũng to mà ra bên ngoài nó bé tí_tẹo tèo teo í grining face with sweat grining face with sweat grining face with sweat grining face with sweat mà nhìn hoàng tráng lắm ăn là no muốn lăn luôn tích_cực a cái này từ hồi mình ở hà_nội đã thèm_thuồng và vẫn chưa có cơ_hội thử thì vô xài gòn có quán bánh_mì chảo đậm chất hà nội đây tích_cực med yêu m light skin tone tích_cực med yêu m light skin tone tích_cực med yêu m light skin tone thêm địa_điểm cho mấy bạn nên đi thử nhé không thất_vọng đâu vì nó khá ngon hê hê,1,0,0,0,1,1,0,0,0,0,0,0
"cháo có nhiều hương cho các bạn chọn , nhưng mình thì chọn hương lá dứa . cháo thì cỡ hai chén là hết , cháo khá nhừ và thơm , cháo thơm mùi gạo tự nhiêntích cực ếch vị satế , vì mình cực_kì thích ăn cay . nồi ếch thơm_lừng , ăn tại_chỗ thì ếch nóng_hổi , ăn nóng bao ngon luôn . cay_cay , mặn mặn hoà chung với cháo thì siêu ngon luôn squinting face with tongue",0,0,0,0,1,1,0,0,0,0,0,0
đồ nướng thì chỗ này không ít bạn chẻ biết đến đâu nhỉ giá thì cực sinh_viên luôn . chỉ từ giá xiên thôi . có cả bò phô_mai với cả bạch_tuộc nướng nưa thịt ở đây ướp rất là ngon vừa miệng_ăn nữa nói chùn là không có chỗ chê hê hê,1,0,0,1,1,1,0,0,0,0,0,0
"đói không ngủ được nên up hình đồ ăn cho mấy bạn coi mì ý ở đây ngon lắm , không chê vào đâu đươc í không_gian cực_kì dễ_thương thíc hợp với việc hẹn_hò tích_cực giá_cả gọi là hợp_lí cho sinh_viên tụi mình lâu_lâu tự thưởng cho bản_thân một bữa ngon_lành cũng không gọi là tiếc_nuối đâu ạ",0,0,0,1,1,0,0,0,0,1,0,0
"khẩu_vị vừa ăn hợp vệ_sinh , không_gian quán rộng tầm nhìn cũng tạm được . đặc_biệt là phục_vụ rất nhiệt_tình và vui_vẻ",0,0,1,0,1,0,0,0,0,1,1,2
kimchi kimchi cat with tears of gì oy cat with tears of gì oy nói cho_cùng thì đồ ăn càng cay càng ngon hã tích_cực lẩu bánh gạo phần người ăn_ở kimchikimchi chúng_ta có_thể ăn no_nê luôn nồi lẩu khá to và còn được tặng kèm lon sting và phần cơm_chiên nữa tích cựctích cựctích cực đang có chương_trình khuyến_mại giảm cho phần lẩu người này các bạn ạ ai mà nghiền cay thì không_thể không check in h tích_cực a,0,0,0,1,1,1,0,0,0,0,0,0
"lẩu hàu thì chưa thấy đâu có . mới ăn lần đầu ở đây luôn , mà ghiền quá . một phần lẩu giá đầy_đặn có con hàu , quả trứng , rau , nấm , một gói mì hàn ăn dai dai chứ không bở như mấy loại thường . cách ăn lẩu này là đập trứng cùng hàu trụng tái_ăn mới ngon . nước lẩu cay_cay , ấm bụng cực d mì thêm giá vắt , trứng giá trái .",0,0,0,2,1,1,0,0,0,0,0,0
